,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.7325421333312988,0.18018314647108538,0.006381559371948242,0.0006630381659839051,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.5909090909090909,0.6136363636363636,0.5513307984790875,0.5763358778625954,0.5458015267175572,0.5458015267175572,0.6145038167938931,0.5877862595419847,0.6106870229007634,0.5648854961832062,0.5801904761904761,0.026163656386921808,165,0.5938161795849216,0.5942397289284201,0.5762066045723963,0.5755395683453237,0.5835801946677952,0.5827338129496403,0.5806178586542531,0.5979686838764283,0.5721540414727042,0.5844265763859501,0.5841283249437832,0.0082596116716377
1,1.716411018371582,0.44195112352447263,0.007878708839416503,0.0012191847351164832,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 40}",0.7840909090909091,0.8106060606060606,0.7718631178707225,0.7366412213740458,0.7099236641221374,0.7251908396946565,0.7480916030534351,0.7366412213740458,0.7709923664122137,0.6870229007633588,0.7481904761904762,0.03504956877069455,140,0.8826768318509106,0.8648877594239729,0.857324301439458,0.8023698688108337,0.8049090139652983,0.8091409225560728,0.8861616589081676,0.8548455353364367,0.8413034278459586,0.8023698688108337,0.8405989188947943,0.0317898695072045
2,2.2729233264923097,0.519866318973625,0.009075689315795898,0.0017529411729785675,0.1,"(50, 50)",80,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 80}",0.7727272727272727,0.8181818181818182,0.7566539923954373,0.767175572519084,0.7022900763358778,0.7519083969465649,0.7900763358778626,0.7290076335877863,0.7786259541984732,0.7175572519083969,0.7584761904761905,0.03316924272415056,120,0.929690808979246,0.9199491740787802,0.8721422523285352,0.8776978417266187,0.8628861616589082,0.8705035971223022,0.9394837071519255,0.8637325433770631,0.8705035971223022,0.8121032585696148,0.8818692942115296,0.03603244424911527
3,2.863571882247925,0.45798646119367514,0.01276566982269287,0.0020342562130245254,0.1,"(50, 50)",170,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 170}",0.7727272727272727,0.8143939393939394,0.7452471482889734,0.7709923664122137,0.7137404580152672,0.7824427480916031,0.7709923664122137,0.7251908396946565,0.7977099236641222,0.7137404580152672,0.7607619047619048,0.033158908224802185,111,0.8809826344769166,0.8831003811944091,0.9292972057578324,0.9373677528565383,0.8603470165044435,0.8882776132035548,0.8823529411764706,0.8726195514176894,0.9356749894202285,0.8806601777401608,0.8950680263748245,0.026601322494854005
4,3.9715126037597654,0.4905530790683955,0.020246386528015137,0.0022749518681550777,0.1,"(50, 50)",480,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 480}",0.7575757575757576,0.8257575757575758,0.8022813688212928,0.8053435114503816,0.7748091603053435,0.7709923664122137,0.7557251908396947,0.7595419847328244,0.7824427480916031,0.7480916030534351,0.7782857142857142,0.024200089291511573,23,0.9224904701397713,0.904277848369335,0.9072819644369179,0.8933559035124842,0.9716462124418113,0.9644519678374948,0.958104104951333,0.9597968683876428,0.8963182395260262,0.9462547608971646,0.9323978340499982,0.029184143655505045
5,5.384999704360962,0.36308474183655215,0.02762579917907715,0.0027152744155300936,0.1,"(50, 50)",670,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 670}",0.7954545454545454,0.7992424242424242,0.7908745247148289,0.7748091603053435,0.7824427480916031,0.7786259541984732,0.7786259541984732,0.767175572519084,0.8129770992366412,0.7748091603053435,0.7855238095238095,0.013187236725039875,2,0.9390088945362135,0.9127488352393054,0.9699407281964437,0.9652983495556496,0.9606432501057978,0.932289462547609,0.9686838764282691,0.9301735082522218,0.9602200592467203,0.9394837071519255,0.9478490671260156,0.01864945479777762
6,6.894363427162171,0.5422453762803878,0.03191487789154053,0.003484173598178515,0.1,"(50, 50)",860,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 860}",0.7840909090909091,0.8106060606060606,0.779467680608365,0.7557251908396947,0.7824427480916031,0.7786259541984732,0.7633587786259542,0.7251908396946565,0.8053435114503816,0.7519083969465649,0.7737142857142857,0.024214687189875954,58,0.9504447268106735,0.9580686149936467,0.905588484335309,0.9348286077020737,0.9331358442657639,0.9377909437156158,0.9767245027507406,0.9047820567075752,0.9382141345746932,0.9648751586965721,0.9404453074552663,0.022152724253299838
7,8.814076852798461,0.4193929712180142,0.04493265151977539,0.008767401925188979,0.1,"(50, 50)",990,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 990}",0.7954545454545454,0.7992424242424242,0.779467680608365,0.7519083969465649,0.7977099236641222,0.7595419847328244,0.8015267175572519,0.7595419847328244,0.8244274809160306,0.7366412213740458,0.7805714285714286,0.026181519476287933,14,0.9618805590851334,0.975434138077086,0.9259102455546148,0.9699534490055015,0.935251798561151,0.9432924248836225,0.9157850190435887,0.9335590351248413,0.9517562420651714,0.9555649597968684,0.946838787119758,0.018450179437719264
8,10.377666068077087,0.7401656691477656,0.050865554809570314,0.006689087201581184,0.1,"(50, 50)",1150,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 1150}",0.803030303030303,0.8143939393939394,0.7718631178707225,0.7748091603053435,0.816793893129771,0.7862595419847328,0.7519083969465649,0.7366412213740458,0.7977099236641222,0.7480916030534351,0.7801904761904762,0.026832073134552974,15,0.9567979669631512,0.963998305802626,0.9610499576629975,0.9475243334743969,0.939060516292848,0.901819720694033,0.8916631400761743,0.9521794329242488,0.9339822259839188,0.9678374947101143,0.9415913094584509,0.02467190855290197
9,0.4682894706726074,0.031102249651948837,0.00588381290435791,0.0005365729410099428,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.5568181818181818,0.5909090909090909,0.5285171102661597,0.5648854961832062,0.5305343511450382,0.5916030534351145,0.6183206106870229,0.5877862595419847,0.6030534351145038,0.5381679389312977,0.571047619047619,0.030202711001571354,168,0.5739093604404913,0.5607793307920372,0.5719729043183742,0.5746931866271688,0.5768091409225561,0.5755395683453237,0.5840033855268726,0.5785019043588658,0.5734236140499365,0.5895048666948793,0.5759137262076506,0.0071700067971928625
10,1.2635881662368775,0.22942020448311323,0.008178114891052246,0.001245732947392901,0.1,"(50,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 40}",0.7537878787878788,0.7651515151515151,0.7300380228136882,0.7442748091603053,0.683206106870229,0.7022900763358778,0.7404580152671756,0.6984732824427481,0.7404580152671756,0.7290076335877863,0.7287619047619047,0.02482551757775917,152,0.7776365946632783,0.7534942820838628,0.7684165961049958,0.7947524333474397,0.7972915785019044,0.7562420651713923,0.7896741430385104,0.7917900973338976,0.8171815488785442,0.818874312314854,0.786535365143868,0.021500120127349757
