,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,2.4966236114501954,0.12418139883730746,0.011566925048828124,0.0007968241744992641,0.1,"(42,)",1,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'filter__n': 1}",0.16257559587335468,0.1721311475409836,0.16422706176365584,0.16607015032211883,0.16571018651362984,0.16614285714285715,0.0032426861899871,16,0.16498346590401286,0.16580310880829016,0.16590767032770784,0.16544708192039978,0.1660720656439529,0.16564267852087272,0.0003881111028098685
1,2.560346508026123,0.33901962443231826,0.012965011596679687,0.0026008177050080607,0.1,"(42,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'filter__n': 2}",0.2888651725364639,0.2815395580898076,0.2720456979650125,0.29312813171080887,0.28622668579626975,0.28435714285714286,0.007214282768954967,15,0.29600500491554205,0.2829194211184563,0.28100723278864187,0.28404426200249866,0.28942204780592223,0.2866795937262122,0.005435878920093769
2,4.327440977096558,0.45182757474657276,0.013763618469238282,0.0015959384895463705,0.1,"(42,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'filter__n': 3}",0.4610458911419424,0.45616535994297935,0.44377008211353086,0.45418754473872586,0.4655667144906743,0.4561428571428571,0.007341913346097113,14,0.4577710251139512,0.45694121850991604,0.45879096347888204,0.45948598964840265,0.4691402069211559,0.46042588073446156,0.004442678465954544
3,7.737751817703247,0.9194316813053652,0.013962316513061523,0.0017846197802208524,0.1,"(42,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'filter__n': 4}",0.6310921380291711,0.6464718460441911,0.6140664048554088,0.6309949892627058,0.6219512195121951,0.6289285714285714,0.010833503637659066,13,0.6409866833497184,0.64141504377345,0.6395213858380212,0.6434053185793325,0.6183553335711738,0.6367367530223392,0.009274145132412792
4,6.646909093856811,0.7053043874592687,0.013763332366943359,0.0007463274876068317,0.1,"(42,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'filter__n': 5}",0.6965492707221629,0.6960085531004989,0.6733309532309889,0.7154617036506801,0.697274031563845,0.6957142857142857,0.013368070096838597,12,0.7100723925283761,0.7013578702876541,0.7093490490222342,0.7161342138140282,0.7137887977167321,0.7101404646738049,0.005039847208997998
5,6.270769548416138,0.5415884981306337,0.013962554931640624,0.0010923623016166376,0.1,"(42,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'filter__n': 6}",0.7744574884382782,0.7647897362794013,0.7604426990360585,0.7720114531138154,0.7589670014347202,0.7661428571428571,0.006154377191499152,11,0.7744213066404504,0.7655887082365553,0.781319760692919,0.784936641085133,0.7700677845165894,0.7752668402343295,0.007093014041338056
6,6.8194512844085695,1.0699250492461385,0.014767169952392578,0.0013333216815405546,0.1,"(42,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'filter__n': 7}",0.7773034507292779,0.7868852459016393,0.7825776508389861,0.7874015748031497,0.7754662840746055,0.7819285714285714,0.004857782717336295,10,0.7810349450353026,0.8040021440057173,0.8080185730868827,0.8090308763162591,0.7912058508740635,0.798658477863645,0.010861706665927806
7,7.278165483474732,1.465029944408833,0.013968420028686524,0.0012519532296742602,0.1,"(42,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'filter__n': 8}",0.8434720739950196,0.8367783321454028,0.8114958943234559,0.8256979241231209,0.8149210903873745,0.8265,0.01228328547535545,9,0.850925015640361,0.8526889405038414,0.8373069024020002,0.845082991254685,0.8328576525151623,0.84377230046321,0.007659198734726911
8,6.202025127410889,0.5388109082744883,0.012560510635375976,0.0011848688257540064,0.1,"(42,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'filter__n': 9}",0.8463180362860192,0.8278688524590164,0.8189932167083185,0.8364352183249821,0.8472022955523673,0.8353571428571429,0.010821715342991471,8,0.859683617838949,0.8355368947650527,0.8532011786766676,0.8505265036587543,0.8593471280770603,0.8516590646032969,0.008798692459792102
9,6.133737230300904,1.420569698141512,0.011581087112426757,0.0004992783937369899,0.1,"(42,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (42,), 'filter__n': 10}",0.8427605834222697,0.8545972915181753,0.8247054623348804,0.863278453829635,0.8597560975609756,0.849,0.013996789612144718,6,0.8452944856555545,0.8672503126675004,0.8544512902937762,0.8888095663037658,0.8789689618266143,0.8669549233494422,0.015795981734116407
